Lunch_Rice_full,Lunch_Soup_,,Lunch_Main_Dish,Lunch_Main_Dish_Kcal,Lunch_Side_Dish_1,Lunch_Side_Dish_1_Kcal,Lunch_Side_Dish_2,Lunch_Side_Dish_2_Kcal,Lunch_Drink,Lunch_Drink_Kcal,Lunch_Kimchi,Lunch_Kimchi_Kcal,Lunch_side_Dish_3,Lunch_side_Dish_3_Kcal,Dinner_Rice,Dinner_Rice_Kcal,Dinner_Soup,Dinner_Soup_Kcal,Dinner_Main_Dish,Dinner_Main_Dish_Kcal,Dinner_Side_Dish_1,Dinner_Side_Dish_1_Kcal,Dinner_Side_Dish_2,Dinner_Side_Dish_2_Kcal,Dinner_Side_Dish_3,Dinner_Side_Dish_3_Kcal,Dinner_Drink,Dinner_Drink_Kcal,Dinner_Kimchi,Dinner_Kimchi_Kcal,,Lunch_Rice,Lunch_Rice_Kcal,,Lunch_Soup,Lunch_Soup_Kcal
"쌀밥/,210 kcal","청국장찌개,280 kcal",,갈릭돈까스,450 kcal,참치야채전,220 kcal,노각무침,25,,,,,양상추샐러드*시저D,90,잡채밥&짜장소스,550,스파게티/크림스프,500,양송이스프,150,떡볶이,300,깍둑오이초무침,20,수제피클,20,,,,,,쌀밥/,210 kcal,,청국장찌개,280 kcal
"전주비빔밥,580 kcal","부대찌개*라면사리,400 kcal",,순살파닭,450 kcal,쫄면무침,250 kcal,오이생채,20,,,,,양상추샐러드*요거트감귤D,85,토마토스파게티(작은밥),400,김치우동,450,모둠장조림,250,해물가스*탈탈소스,400,꼬들단무지무침,15,찐옥수수/주스,150,,,,,,전주비빔밥,580 kcal,,부대찌개*라면사리,400 kcal
"쌀밥/완두콩밥/찰현미밥,230 kcal","복숭아미역냉국,60 kcal",,사천식탕수육,500 kcal,명태엿장조림,250 kcal,영양부추,30,,,,,양상추샐러드*황도D,80,파인애플볶음밥,520,무채국,120,탕수만두,250,찐햇감자,180,비트피클,20,무말랭이무침,35,,,,,,쌀밥/완두콩밥/찰현미밥,230 kcal,,복숭아미역냉국,60 kcal
"쌀밥/강낭콩밥/찰현미밥,230 kcal","호박잎된장국,180 kcal",,매운주꾸미볶음,280 kcal,마늘쫑볶음,120 kcal,모듬쌈*쌈장,40,,,,,버블샐러드*D오리엔탈D,100,삼겹살볶음밥,550,감자국,150,감자버터구이,200,연근땅콩조림,200,두부계란전*양념장,120,포도,60,,,,,,쌀밥/강낭콩밥/찰현미밥,230 kcal,,호박잎된장국,180 kcal
"(New)바지락비빔밥,420 kcal","사과오이냉국,70 kcal",,돈육떡강정,400 kcal,골뱅이무침&소면,250 kcal,도라지나물,30,,,,,양상추샐러드*흑임자D,100,잡채밥/짜장소스,550,작은밥,150,깐풍기,350,쇠고기퀘사디아,400,도토리묵채소무침,40,단무지무침/음료,50,,,,,,(New)바지락비빔밥,420 kcal,,사과오이냉국,70 kcal
"쌀밥/팥밥/찰현미밥,230 kcal","닭곰탕,320 kcal",,목살데리야끼,350 kcal,실곤약초무침,50 kcal,수박,50,,,,,지중해샐러드,90,베이컨볶음밥,520,콩나물냉국,120,오징어볶음,220,주꾸미초무침,250,청경채나물,30,잔멸치볶음,90,,,,,,쌀밥/팥밥/찰현미밥,230 kcal,,닭곰탕,320 kcal
"(New)뿌리채소영양밥&달래양념장,320 kcal","해물된장찌개,270 kcal",,고추장불고기,320 kcal,닭가슴살냉채,120 kcal,치커리들깨무침,50,,,,,그린샐러드*키위요거트D,85,중국식볶음밥,520,로제파스타/스프,500,단호박스프,150,비엔나컬리플라워볶음,250,수제무말랭이무침,35,미역레몬초무침,25,,,,,,(New)뿌리채소영양밥&달래양념장,320 kcal,,해물된장찌개,270 kcal
"전주비빔밥*약고추장,590 kcal","버섯매운탕,220 kcal",,고구마치즈구이,350 kcal,두부새싹구이,100 kcal,깻잎지,35,,,,,,,제육김치덮밥,550,얼갈이된장국,150,수제핫도그,300,새우까스*탈탈소스,400,매콤시래기된장지짐,40,도라지오이생채,35,,,,,,전주비빔밥*약고추장,590 kcal,,버섯매운탕,220 kcal
,"두부맑은국,100 kcal",,불닭볶음,420 kcal,맛살겨자초무침,120 kcal,토마토/락교,25,,,,,,,김치필라프,520,참치김치찌개,250,과일샐러드,90,옥수수감자범벅,220,쪽파김무침,25,쫄면/비트무절임,250,,,,,,,,,두부맑은국,100 kcal
,"황태맑은국,150 kcal",,동파삼겹수육,350 kcal,돈육잡채,250 kcal,쌈무/참나물생채,30,,,,,,,참치덮밥,480,고추장찌개,250,쇠고기장조림,300,동그랑땡전,250,열무나물,35,해초무침,25,,,,,,,,,황태맑은국,150 kcal
,"토란국,180 kcal",,훈제오리냉채,350 kcal,감자볶음,150 kcal,연근조림,70,,,,,,,쌀밥,200,꼬지어묵우동,450,고등어카레구이,300,홍시드레싱샐러드,150,가지무침,35,노각무침,25,,,,,,,,,토란국,180 kcal
,"아욱된장국,160 kcal",,꽁치오븐구이,350 kcal,감자만두,200 kcal,오이도라지무침/수박,40,,,,,,,짜장면/작은밥,550,무채맑은국,120,너비아니*부추생채,250,베이컨계란말이,250,오이보트샐러드,30,호박나물,30,,,,,,,,,아욱된장국,160 kcal
,"느타리버섯국,150 kcal",,꽃맛살볶음,280 kcal,삼치구이,300 kcal,콩자반,80,,,,,,,참치마요덮밥,550,조갯살미역국,150,치킨핑거,300,무초절임,50,풋고추양파무침,25,셀프무쌈말이,40,,,,,,,,,느타리버섯국,150 kcal
,"우거지해장국,320 kcal",,매콤돼지갈비찜,400 kcal,춘권,200 kcal,양배추피클,20,,,,,,,굴소스볶음밥,520,근대된장국,150,돈까스,400,비엔나감자볶음,250,진미채오이무침,40,포도주스,80,,,,,,,,,우거지해장국,320 kcal
,"시금치된장국,130 kcal",,미니함박조림,320 kcal,해파리겨자채,80 kcal,꽈리고추찜,30,,,,,,,쇠고기볶음밥,550,황태국,150,순대야채볶음,250,실곤약초무침,100,연근깨소스무침,35,오이맛살초무침,30,,,,,,,,,시금치된장국,130 kcal
,"팽이버섯국,120 kcal",,장어강정,400 kcal,감자채볶음,150 kcal,시금치무침,30,,,,,,,스팸주먹밥,180,어묵우동,450,등뼈묵은지찜,400,크랜베리단호박샐러드,180,옛날소시지전*케찹,150,미역무침/콘샐러드,40,,,,,,,,,팽이버섯국,120 kcal
,"건새우무국,150 kcal",,삼겹살오븐구이,350 kcal,마늘쫑무침,100 kcal,상추&마늘,25,,,,,,,유산슬덮밥,550,해물된장찌개,250,소불고기,300,꽈리고추어묵조림,200,오이생채,20,청경채생채,30,,,,,,,,,건새우무국,150 kcal
,"돈신탕(해장탕),350 kcal",,새우까스&탈탈소스,450 kcal,닭살겨자냉채,120 kcal,쑥갓두부무침,60,,,,,,,버섯영양밥*우렁양념장,480,참치주먹밥,180,소고기퀘사디아,400,열대과일샐러드,150,애호박새우젓나물,35,유채나물,30,,,,,,,,,돈신탕(해장탕),350 kcal
,"계란국,120 kcal",,고등어조림,320 kcal,웨지감자오븐구이,200 kcal,치커리유자청무침,35,,,,,,,찹쌀밥,220,옥수수스프,180,쭈꾸미볶음,220,모둠버섯볶음,180,사과청경채무침,25,매운어묵볶음,100,,,,,,,,,계란국,120 kcal
,"동태찌개,260 kcal",,갈릭돈가스,450 kcal,연근/오징어튀김,220 kcal,올방개묵무침,50,,,,,,,마늘베이컨볶음밥,520,북어계란국,150,치킨텐더,300,연두부*양념,200,마늘쫑볶음,40,상추치커리무침,25,,,,,,,,,동태찌개,260 kcal
,"알탕,280 kcal",,소고기숙주볶음,300 kcal,오꼬노미계란말이,200 kcal,꽃맛살오리엔탈샐러드,80,,,,,,,스팸볶음밥,520,바지락수제비,400,삼치된장구이,280,해물파전,300,얼갈이나물,30,취나물,30,,,,,,,,,알탕,280 kcal
,"김치콩나물국,150 kcal",,고추잡채*꽃빵,320 kcal,오징어브로컬리숙회,120 kcal,호박잎쌈*양념,40,,,,,,,불고기필라프,550,해물짬뽕,500,왕새우튀김,350,날치알계란찜,220,매콤호박볶음,35,상추초무침,25,,,,,,,,,김치콩나물국,150 kcal
,"김치국,120 kcal",,칠리탕수육,500 kcal,매운어묵볶음,150 kcal,단무지무침,20,,,,,,,땡초주먹밥,180,목살김치찌개,250,훈제오리/무쌈/양파절임,250,가자미찜,280,부추무침,30,도라지초무침,35,,,,,,,,,김치국,120 kcal
,"조랭이떡미역국,220 kcal",,닭볶음,300 kcal,고구마범벅,180 kcal,연두부*양념,50,,,,,,,부채살오므라이스,550,시금치된장국,150,돈육볶음,300,단무지/락교,50,해초무침,25,참나물땅콩무침,40,,,,,,,,,조랭이떡미역국,220 kcal
,"설렁탕,400 kcal",,동태무조림,320 kcal,비엔나피망볶음,220 kcal,참나물땅콩무침,60,,,,,,,계란김밥,300,매운감자국,150,허니버터옥수수,200,양장피잡채,300,햄감자볶음,100,음료,80,,,,,,,,,설렁탕,400 kcal
,"콩비지찌개,250 kcal",,마늘치킨,450 kcal,꽁치와사비구이,320 kcal,애호박나물,30,,,,,,,삼겹살마늘볶음밥,550,대구지리,200,춘권,250,두부구이*양념장,220,콘슬로우,50,콩자반,80,,,,,,,,,콩비지찌개,250 kcal
,"순두부탕,220 kcal",,계란말이,250 kcal,모듬소시지볶음,320 kcal,참나물생채,30,,,,,,,후리가케덮밥,520,매생이굴국,150,깐풍육,350,찐감자/수박,180,참나물초장무침,30,오이피클,15,,,,,,,,,순두부탕,220 kcal
,"근대국,150 kcal",,닭찜,300 kcal,과일샐러드,80 kcal,핫도그,250,,,,,,,채소볶음밥&자장소스,550,미역국,150,돈육장조림,300,마늘바게뜨/음료,250,상추*양념장,25,파래김*장,25,,,,,,,,,근대국,150 kcal
,"홍합탕,200 kcal",,가자미카레튀김,450 kcal,모둠버섯볶음,120 kcal,단배추나물,25,,,,,,,흑미밥,200,봄동된장국,150,제육볶음,350,모듬소세지구이,350,단무지양념무침,15,고구마맛탕/오렌지,150,,,,,,,,,홍합탕,200 kcal
,"아욱국,150 kcal",,오리고추장볶음,320 kcal,동그랑땡,220 kcal,양배추쌈&쌈장,35,,,,,,,우육비빔냉면,480,매운오징어국,180,닭오븐구이,350,비빔야채만두,300,양념고추지,30,핫도그&케찹,250,,,,,,,,,아욱국,150 kcal
,"차돌박이된장찌개,330 kcal",,유린기,420 kcal,어묵볶음,150 kcal,마늘쫑건새우볶음,70,,,,,,,타워함박스테이크,700,감자찌개,150,새우까스*타르타르,400,단무지,50,근대고추장무침,35,비트무생채,25,,,,,,,,,차돌박이된장찌개,330 kcal
,"얼갈이국,120 kcal",,오리훈제고추장볶음,350 kcal,햄피망볶음,220 kcal,동태/새송이전,100,,,,,,,오리훈제볶음밥,550,들깨무채국,150,탕평채,90,감자카레볶음,250,오이지무침,15,얼갈이겉절이,30,,,,,,,,,얼갈이국,120 kcal
,"사골떡국,350 kcal",,너비아니구이,350 kcal,호박부추전,200 kcal,참나물무침,30,,,,,,,폭탄주먹밥,200,뼈감자탕,500,장어강정,400,볼어묵조림,200,감자간장조림,80,락교,15,,,,,,,,,사골떡국,350 kcal
,"황태국,180 kcal",,임연수찜,320 kcal,가지볶음,120 kcal,매운어묵볶음,70,,,,,,,계란볶음밥,520,새우튀김우동,500,쇠고기모둠장조림,350,닭가슴살장조림,280,콩나물볶음,50,실곤약초무침,25,,,,,,,,,황태국,180 kcal
,"짬뽕국,300 kcal",,유자청돈육볶음,320 kcal,골뱅이소면무침,250 kcal,멸치크렌베리볶음,90,,,,,,,쇠고기규동덮밥,550,쇠고기매운국,200,모듬떡볶이,300,해파리냉채,120,계란후라이/요구르트,100,군고구마,120,,,,,,,,,짬뽕국,300 kcal
,"냉이콩나물국,130 kcal",,간장파닭,450 kcal,메추리알곤약조림,120 kcal,단무지,20,,,,,,,청양멸치주먹밥,180,시래기들깨탕,220,갈치조림,330,단호박조림,200,감자채카레볶음,90,음료/단무지,50,,,,,,,,,냉이콩나물국,130 kcal
,"굴김치두부국,250 kcal",,샐러드파스타,300 kcal,오복지무침,100 kcal,미역레몬초무침,25,,,,,,,채소라면,500,장국,120,미니채소떡갈비,250,메밀전병만두,350,고구마순들깨볶음,50,수제오이피클/주스,50,,,,,,,,,굴김치두부국,250 kcal
,"배추국,120 kcal",,한방소갈비찜,400 kcal,모듬묵*양념장,120 kcal,땅콩조림,120,,,,,,,(New)케일쌈밥*씨앗쌈장,480,소고기무국,200,돈육강정,350,망고드레싱샐러드,150,마늘종멸치볶음,45,마늘쫑장아찌,40,,,,,,,,,배추국,120 kcal
,"소고기무국,200 kcal",,표고돈육탕수,400 kcal,계란버섯장조림,150 kcal,홍어채무침,50,,,,,,,(New)꼬막비빔밥,480,사골우거지국,250,닭볶음,350,황태양념구이,300,고추지무침,30,취나물/요구르트,60,,,,,,,,,소고기무국,200 kcal
,"들깨시래기국,200 kcal",,목살스테이크,350 kcal,모둠양채쌈,50 kcal,부추겉절이,25,,,,,,,애플카레라이스,500,미역장국,150,코다리엿장조림,280,오이피클/절인고추,50,단무지무침,15,겨울초겉절이,30,,,,,,,,,들깨시래기국,200 kcal
,"봄동된장국,150 kcal",,생선커틀릿,450 kcal,셀프무쌈말이,50 kcal,세발나물,25,,,,,,,김주먹밥,180,꼬치어묵탕,150,궁중떡볶음,300,새싹두부구이,220,새우살호박볶음,50,푸딩,150,,,,,,,,,봄동된장국,150 kcal
,"토란탕,180 kcal",,미트볼칠리조림,350 kcal,메밀버섯전,180 kcal,상추파채무침,25,,,,,,,유부초밥/쌀밥,200,김치두부국,220,닭매운찜,350,실곤약흑임자무침,100,깻잎쌈*청양마요소스,40,오이사과생채,30,,,,,,,,,토란탕,180 kcal
,"미소국,90 kcal",,꽁치김치말이,320 kcal,풍기샐러드,80 kcal,무생채/귤,35,,,,,,,오뗄햄김밥,400,우거지탕,250,돼지갈비찜,400,찹쌀도너츠,350,풋고추/양파*쌈장,40,치커리단감무침,25,,,,,,,,,미소국,90 kcal
,"얼큰순두부찌개,250 kcal",,데리야끼파닭,450 kcal,고추잡채*꽃빵,220 kcal,멸치아몬드볶음,90,,,,,,,채소볶음밥,500,유부우동,450,샐러드파스타,250,김치녹두전,250,세발나물무침,30,오이양배추피클,30,,,,,,,,,얼큰순두부찌개,250 kcal
,"콩가루배추국,150 kcal",,쇠고기숙주볶음,300 kcal,두부계란전,200 kcal,부추호박전,80,,,,,,,꼬치어묵매운탕,350,매운어묵국,180,닭강정,350,미트볼케찹조림,300,참나물겉절이,30,열무된장나물,35,,,,,,,,,콩가루배추국,150 kcal
,"소고기미역국,200 kcal",,훈제오리/무쌈,350 kcal,생선까스*탈탈소스,350 kcal,브로컬리무침,40,,,,,,,추가밥,150,카레돈까스정식,700,동파삼겹수육,400,요플레,150,고구마순볶음,50,무생채,15,,,,,,,,,소고기미역국,200 kcal
,"쇠고기무국(빨갛게),220 kcal",,쭈꾸미볶음,280 kcal,양파절임,30 kcal,풋고추*양파,25,,,,,,,마파두부,550,야채볶음밥,500,새우또띠아/음료,200,모듬묵*양념장,150,미나리전,100,봄동겉절이,25,,,,,,,,,쇠고기무국(빨갛게),220 kcal
,"맑은계란국,100 kcal",,명태엿장조림,320 kcal,모듬소세지구이,320 kcal,쌈다시마초장,20,,,,,,,미트볼파스타*추가밥,650,옛날돈가스,700,언양식불고기,350,마늘쫑볶음,100,실곤약채소무침,25,귤,60,,,,,,,,,맑은계란국,100 kcal
,"들깨미역국,180 kcal",,소고기버섯볶음,300 kcal,날치알계란찜,150 kcal,참나물,30,,,,,,,고추잡채덮밥,550,배추된장국,150,고등어양념구이,300,맛탕,250,깻잎고기전,120,피클/아이스슈,100,,,,,,,,,들깨미역국,180 kcal
,"꽃게찌개,300 kcal",,유산슬,320 kcal,닭살겨자채,120 kcal,연근땅콩조림,80,,,,,,,(New)치킨마요덮밥,550,연두부찌개,220,해물볶음우동,400,또띠아칩,200,(New)배추오이흑임자무침,35,과일,80,,,,,,,,,꽃게찌개,300 kcal
,"옹심이만두떡국,280 kcal",,해물김치전,300 kcal,햄감자채볶음,220 kcal,물파래무침,25,,,,,,,(New)팟시금치무쌉,480,우거지해장국,250,미트볼떡조림,250,홍어채무침,120,쑥갓겉절이,25,마늘쫑건새우볶음,45,,,,,,,,,옹심이만두떡국,280 kcal
,"새우살미역국,180 kcal",,파닭,450 kcal,임연수구이,300 kcal,오복지무침,30,,,,,,,알리오올리오/추가밥,600,단호박스프,180,새우까스*탈탈소스,400,삼치조림,280,도라지초무침,35,시래기조림,80,,,,,,,,,새우살미역국,180 kcal
,"소고기국,200 kcal",,짬뽕불고기,320 kcal,올방개묵무침,120 kcal,무쌈말이,40,,,,,,,(New)할라피뇨멸치주먹밥,180,새알만두국,350,소고기숙주볶음,300,옥수수맛탕,220,콩나물굴소스볶음,50,김가루잔파무침,25,,,,,,,,,소고기국,200 kcal
,"호박잎된장찌개,180 kcal",,통감자오븐구이,300 kcal,갈치조림,320 kcal,배추쌈/무말랭이,35,,,,,,,,,감자고추장찌개,220,단호박조림,120,두부새싹구이,220,치커리귤무침,25,조각티라미수,150,,,,,,,,,호박잎된장찌개,180 kcal
,"연두부탕,120 kcal",,치킨핑거*요거트D,430 kcal,샐러드파스타,250 kcal,쨔샤이무침/아이스슈,25,,,,,,,,,열무김치국수,400,유린기,350,오징어&브로컬리숙회,250,오이나물볶음,30,청포묵무침,35,,,,,,,,,연두부탕,120 kcal
,"오이지냉국,70 kcal",,양념찜닭,350 kcal,감자샐러드,200 kcal,상추초무침,20,,,,,,,,,올챙이만두국,350,토마토스파게티,300,감자치즈오븐구이,300,양배추비트피클,25,김자반/치킨무,50,,,,,,,,,오이지냉국,70 kcal
,"유부주머니국,200 kcal",,해물누룽지탕,450 kcal,콩나물겨자채,80 kcal,다시마*브로컬리,30,,,,,,,,,호박잎된장찌개,220,해물떡볶이,300,진미채무침,150,단무지채무침,15,애플망고두유/피클,100,,,,,,,,,유부주머니국,200 kcal
,"나가사끼짬뽕국,300 kcal",,양념돼지갈비찜,400 kcal,실곤약흑임자무침,50 kcal,오이도라지무침,30,,,,,,,,,근대국,150,가자미양념찜,280,돈육잡채,300,미나리나물무침,30,간장깻잎지,35,,,,,,,,,나가사끼짬뽕국,300 kcal
,"꼬지어묵탕,200 kcal",,삼치무조림,320 kcal,개성감자만두,200 kcal,하루나겉절이,25,,,,,,,,,옛날돈까스,700,목살간장조림,350,두부양념찜,220,고구마연근맛탕,80,애호박나물,30,,,,,,,,,꼬지어묵탕,200 kcal
,"삼계탕,400 kcal",,고구마튀김,400 kcal,버섯메밀전,180 kcal,군고구마,120,,,,,,,,,콩나물김치국,120,수제고로케,220,메추리알곤약조림,200,돌나물유자청무침,25,오이생채,20,,,,,,,,,삼계탕,400 kcal
,"소고기매운무국,220 kcal",,쇠고기버섯볶음,300 kcal,매운어묵무침,150 kcal,물미역초장,20,,,,,,,,,나가사끼짬뽕,500,닭데리야끼구이,350,쫄면야채무침,300,산고추지무침,30,조각사과,30,,,,,,,,,소고기매운무국,220 kcal
,"어묵탕,200 kcal",,돈육간장불고기,320 kcal,멕시칸샐러드,200 kcal,콩나물파채절이,35,,,,,,,,,김치국,120,류산슬,250,하와이안샐러드,150,오이달래무침,25,견과류조림,90,,,,,,,,,어묵탕,200 kcal
,"콩나물냉국,80 kcal",,미트볼케찹조림,350 kcal,옥수수계란찜,150 kcal,꽈리고추멸치볶음,70,,,,,,,,,꼬지어묵탕,150,등갈비묵은지찜,400,궁중떡볶음,300,명엽채볶음,50,세발나물무침,30,,,,,,,,,콩나물냉국,80 kcal
,"고사리육개장,300 kcal",,수제돈까스,450 kcal,비엔케찹볶음,220 kcal,쫑상추무침,25,,,,,,,,,맑은장국,120,양파치킨,300,찹쌀순대볶음,300,시금치나물무침,30,물파래무침,30,,,,,,,,,고사리육개장,300 kcal
,"해물순두부찌개,250 kcal",,쇠고기낙지볶음,320 kcal,꽁치김치말이,320 kcal,두반장가지볶음,50,,,,,,,,,김치국수,350,로제스파게티,350,브로컬리꽃맛살샐러드,180,삼색귤소스무침,25,내사랑포도/피클,80,,,,,,,,,해물순두부찌개,250 kcal
,"들깨버섯국,200 kcal",,매운동태찜,320 kcal,양배추쌈*쌈장,50 kcal,봄동된장무침,30,,,,,,,,,토란탕,150,소고기장조림,300,꽁치한마리구이,280,숙주나물당근무침,35,통도라지구이,40,,,,,,,,,들깨버섯국,200 kcal
,"가쯔오국,100 kcal",,동그랑땡전,300 kcal,꽃맛살샐러드,80 kcal,시금치초생채,30,,,,,,,,,배추국,150,갈치양념조림,330,갈비만두,350,오이선,20,청경채무침,30,,,,,,,,,가쯔오국,100 kcal
,"시래기들깨탕,200 kcal",,굴비구이,350 kcal,소세지감자조림,250 kcal,무쌈/부추무침,30,,,,,,,,,새알미역국,150,펜네베이컨샐러드,220,연두부*양념장,200,양파초절임,15,시금치나물/귤,90,,,,,,,,,시래기들깨탕,200 kcal
,"민물새우찌개,250 kcal",,동파육,400 kcal,꽈리고추어묵볶음,150 kcal,깻잎찜,35,,,,,,,,,올갱이아욱국,150,버섯탕수,250,코다리엿장조림,280,,,쫑상추무침,25,,,,,,,,,민물새우찌개,250 kcal
,"새알미역국,180 kcal",,주꾸미떡볶음,300 kcal,부추깻잎전,200 kcal,오이사과무침,25,,,,,,,,,황태무채국,150,고등어김치말이,280,핫도그/음료,350,,,단무지/음료,50,,,,,,,,,새알미역국,180 kcal
,"쇠고기매운버섯국,250 kcal",,생선까스,450 kcal,언양식불고기,250 kcal,진미채무침,70,,,,,,,,,옛날왕돈까스,700,삼겹살구이,400,잔멸치볶음,180,,,호박반달나물,30,,,,,,,,,쇠고기매운버섯국,250 kcal
,"청양된장찌개,270 kcal",,매운닭찜,320 kcal,비빔메밀국수,250 kcal,모듬쌈,40,,,,,,,,,대구매운탕,200,순대오징어볶음,250,새우또띠아,250,,,청경채사과무침,35,,,,,,,,,청양된장찌개,270 kcal
,"동태탕,260 kcal",,소갈비찜,400 kcal,두반장감자볶음,180 kcal,실곤약무침,20,,,,,,,,,홍합탕,150,고등어구이,330,녹두전(김치),250,,,풋마늘대무침,25,,,,,,,,,동태탕,260 kcal
,"들깨무채국,180 kcal",,언양식불고기*양파채,320 kcal,주꾸미초무침,150 kcal,물미역무침,20,,,,,,,,,냉이된장국,220,케이준샐러드,180,호빵/식혜,180,,,하와이안샐러드,120,,,,,,,,,들깨무채국,180 kcal
,"소고기된장찌개,250 kcal",,스위트칠리미트볼,350 kcal,무쌈말이,50 kcal,보름나물/김구이,30,,,,,,,,,버섯매운국,180,짬뽕불고기,350,들깨버섯무침,180,,,음료/오렌지,80,,,,,,,,,소고기된장찌개,250 kcal
,"달래된장국,150 kcal",,소고기낙지볶음,320 kcal,씨리얼과일샐러드,150 kcal,도라지오이생채,30,,,,,,,,,소고기매운국,200,쫄면야채무침,250,고구마치즈구이,220,,,홍어채무침,50,,,,,,,,,달래된장국,150 kcal
,"청량된장찌개,260 kcal",,낙지볶음,280 kcal,모듬버섯구이*초장,120 kcal,다시마쌈,20,,,,,,,,,도토리묵냉국,150,소고기모듬장조림,350,고등어카레구이,300,,,음료/락교,80,,,,,,,,,청량된장찌개,260 kcal
,"얼큰소고기국,280 kcal",,생선까스*탈탈소스,450 kcal,꽃맛살햄볶음,220 kcal,얼갈이나물,30,,,,,,,,,로제스파게티,500,볶음우동,400,훈제오리냉채,280,,,오이피클/마늘빵,80,,,,,,,,,얼큰소고기국,280 kcal
,"동태매운탕,300 kcal",,깐풍기,430 kcal,삼색묵무침,120 kcal,부추무침,25,,,,,,,,,삼계국밥,550,제육볶음(빨갛게),350,흑임자시금치샐러드,150,,,취나물된장무침,35,,,,,,,,,동태매운탕,300 kcal
,"쑥된장국,130 kcal",,언양식불고기,320 kcal,비엔나케찹볶음,220 kcal,치커리유자무침,35,,,,,,,,,완두콩스프,180,로제파스타,350,구운채소,150,,,고구마튀김/음료,150,,,,,,,,,쑥된장국,130 kcal
,"무청된장국,150 kcal",,팝콘치킨*데리마요,420 kcal,삼색꼬지전,200 kcal,톳무침,30,,,,,,,,,조랭이떡미역국,150,비빔메밀국수,300,꼬막찜,280,,,영양부추무침,30,,,,,,,,,무청된장국,150 kcal
,"조랭이떡국,220 kcal",,순살닭갈비,300 kcal,양잡피잡채,200 kcal,양파절임/오이부추무침,25,,,,,,,,,매운소고기국,200,동태콩나물찜,220,두부부침,220,,,모듬쌈,40,,,,,,,,,조랭이떡국,220 kcal
,"쇠고기매운국,280 kcal",,해물청경채볶음,300 kcal,갈치구이,300 kcal,돌나물무침,30,,,,,,,,,호박젓국찌개,220,가자미카레튀김,300,딸기드레싱샐러드,150,,,오복지무침,25,,,,,,,,,쇠고기매운국,280 kcal
,"찹쌀밥,210 kcal",,치킨커틀렛,450 kcal,연두부찜,100 kcal,무피클,20,,,,,,,,,미니우동,300,오징어순대볶음,250,김치전,250,,,깻잎찜,40,,,,,,,,,찹쌀밥,210 kcal
,"우무콩국,180 kcal",,콩나물불고기,280 kcal,감자전,200 kcal,봄동달래무침,30,,,,,,,,,호박새우젓국,220,유자청돈육볶음,300,크랜베리멸치볶음,180,,,땅콩조림/피클,90,,,,,,,,,우무콩국,180 kcal
,"미역오이냉국,70 kcal",,생선커틀렛,450 kcal,땅콩멸치볶음,180 kcal,고추간장지,25,,,,,,,,,매운쇠고기국,200,순살닭갈비,350,고구마그라탕,250,,,치커리무침/과일,50,,,,,,,,,미역오이냉국,70 kcal
,"연두부국,120 kcal",,훈제오리(마늘만),350 kcal,춘권*칠리소스,220 kcal,방풍나물,30,,,,,,,,,크림스프,180,치즈시즈닝치킨,350,부추호박전,250,,,오이생채/음료,50,,,,,,,,,연두부국,120 kcal
,"매운소고기무국,280 kcal",,매콤함박스테이크,320 kcal,두부구이*양념장,120 kcal,건새우마늘쫑볶음,70,,,,,,,,,들깨버섯국,220,미소장국,50,시금치흑임자샐러드,150,,,하루나무침,30,,,,,,,,,매운소고기무국,280 kcal
,"감자국,150 kcal",,훈제오리구이/쌈무,350 kcal,해물김치전,220 kcal,상추무침,25,,,,,,,,,미니짬뽕,400,갈치구이,330,어묵꽈리고추볶음,200,,,단무지/방울토마토,25,,,,,,,,,감자국,150 kcal
,"두부김치국,200 kcal",,돈육꽈리고추볶음,320 kcal,야채계란찜,150 kcal,바나나,90,,,,,,,,,해물수제비,400,쇠고기숙주볶음,300,메쉬드포테이토,250,,,오이미역무침,30,,,,,,,,,두부김치국,200 kcal
,"매운버섯국,220 kcal",,간장찜닭,350 kcal,파스타샐러드,250 kcal,크래미숙주무침,40,,,,,,,,,민물새우찌개,250,크림카레우동,400,두부찜,220,,,무피클/바나나,50,,,,,,,,,매운버섯국,220 kcal
,"떡만두국,250 kcal",,오리불고기,350 kcal,녹두김치전,200 kcal,파채상추무침,25,,,,,,,,,들깨시래기국,220,주꾸미떡볶음,300,푸실리샐러드,180,,,키위드레싱샐러드,80,,,,,,,,,떡만두국,250 kcal
,"새알만두국,250 kcal",,탕수만두,450 kcal,콩나물동태찜,250 kcal,머위된장나물,35,,,,,,,,,팽이가쯔오장국,120,미니버거,250,콩나물냉채,100,,,치커리무침,25,,,,,,,,,새알만두국,250 kcal
,"콩가루배추된장국,150 kcal",,삼치된장구이,320 kcal,고등어조림,320 kcal,도라지생채,30,,,,,,,,,쇠고기국,200,꽁치오븐구이,330,딸기생크림와플,350,,,스틱단무지/오렌지주스,50,,,,,,,,,콩가루배추된장국,150 kcal
,"북어해장국,320 kcal",,삼겹살구이,350 kcal,군만두,200 kcal,요플레,120,,,,,,,,,얼갈이국,150,감자만두,200,봄나물튀김,200,,,도라지생채,35,,,,,,,,,북어해장국,320 kcal
